aX,aY,aZ,gX,gY,gZ
0.149,-1.019,-0.921,-13.916,6.714,-3.723
0.145,-0.838,-0.908,-11.963,-2.197,7.385
0.154,-0.656,-0.828,-11.230,-9.583,14.648
0.140,-0.541,-0.720,-11.292,-13.428,17.517
0.148,-0.455,-0.618,-10.437,-14.221,17.944
0.136,-0.385,-0.541,-10.254,-12.207,16.357
0.152,-0.337,-0.489,-9.399,-6.042,13.550
0.145,-0.358,-0.489,-8.606,3.174,9.827
0.139,-0.383,-0.559,-7.385,15.747,7.019
0.131,-0.385,-0.691,-6.165,26.978,5.615
0.130,-0.379,-0.874,-4.211,38.330,5.127
0.125,-0.375,-1.049,-3.662,43.823,4.639
0.123,-0.384,-1.199,-4.700,41.199,3.906
0.119,-0.400,-1.286,-6.165,33.936,3.479
0.127,-0.403,-1.283,-7.751,21.851,3.601
0.129,-0.399,-1.214,-9.338,10.681,4.150
0.137,-0.376,-1.116,-10.376,3.845,4.639
0.138,-0.350,-1.029,-10.315,0.549,4.578
0.141,-0.342,-0.979,-9.644,0.549,3.723
0.134,-0.346,-0.961,-9.521,2.075,2.563
0.133,-0.360,-0.965,-9.644,3.662,1.221
0.135,-0.389,-0.986,-8.545,5.615,-0.122
0.135,-0.413,-1.016,-6.165,6.592,-1.099
0.136,-0.433,-1.031,-4.639,6.226,-1.282
0.138,-0.445,-1.035,-4.517,5.249,-1.221
0.139,-0.447,-1.041,-4.211,4.211,-1.038
0.141,-0.450,-1.041,-4.883,2.625,-0.854

-0.453,-1.235,-0.864,-336.853,-80.994,-166.992
-0.460,-1.297,-0.634,-354.614,-94.116,-158.447
-0.437,-1.324,-0.337,-369.934,-109.802,-149.048
-0.393,-1.468,-0.251,-373.047,-108.337,-142.761
-0.399,-1.748,-0.345,-395.203,-83.496,-136.719
-0.483,-2.137,-0.650,-406.067,-63.904,-127.197
-0.606,-2.390,-1.018,-404.724,-57.007,-106.506
-0.698,-2.397,-1.204,-385.193,-76.782,-75.134
-0.723,-2.167,-1.060,-350.830,-118.164,-40.894
-0.822,-1.818,-0.796,-300.720,-147.217,-13.123
-0.862,-1.504,-0.431,-240.845,-177.063,3.174
-0.867,-1.387,-0.022,-184.875,-205.200,8.545
-0.898,-1.533,0.270,-137.329,-207.703,5.737
-0.937,-1.938,0.470,-85.632,-207.275,1.343
-0.942,-2.299,0.693,-71.228,-203.247,8.240
-0.950,-2.563,0.793,-63.843,-191.467,27.344
-0.944,-2.649,0.854,-80.566,-172.363,57.434
-0.939,-2.631,0.803,-91.736,-152.100,91.003
-0.951,-2.592,0.598,-104.980,-127.625,123.901
-1.032,-2.592,0.241,-111.633,-103.882,155.579
-1.173,-2.551,-0.096,-119.690,-94.604,188.965
-1.380,-2.392,-0.364,-110.291,-99.976,223.816
-1.551,-2.162,-0.156,-90.027,-138.550,255.920
-1.646,-1.994,0.375,-70.984,-191.833,282.043
-1.746,-1.889,1.106,-61.218,-232.788,303.955
-1.793,-1.713,1.672,-52.490,-228.088,326.477
-1.804,-1.342,2.028,-38.452,-190.796,351.013
-1.753,-0.894,2.111,-19.531,-137.695,370.605
-1.670,-0.468,2.024,-8.179,-81.299,379.395
-1.547,-0.191,1.746,11.414,-31.982,376.221
-1.398,-0.065,1.412,13.550,7.874,364.502
-1.283,-0.150,1.019,20.264,36.499,346.130
-1.215,-0.381,0.655,27.283,52.124,328.552
-1.243,-0.601,0.412,33.752,48.218,318.481
-1.221,-0.630,0.413,27.832,26.245,318.970
-1.146,-0.503,0.560,22.888,0.000,326.050
-1.096,-0.306,0.772,16.541,-12.695,333.008
-1.037,-0.085,0.974,6.653,-12.756,336.243
-0.972,0.148,1.175,-1.465,-4.150,334.656
-0.917,0.296,1.353,2.625,10.803,325.684
-0.863,0.378,1.537,0.977,30.884,312.744
-0.808,0.437,1.664,4.700,57.983,298.645
-0.765,0.493,1.722,5.981,92.651,284.790
-0.754,0.533,1.634,8.423,134.949,270.325
-0.753,0.550,1.414,5.737,181.091,255.127
-0.783,0.552,1.101,-1.709,222.351,241.028
-0.754,0.564,0.812,-5.798,250.854,226.929
-0.701,0.605,0.530,-7.080,270.325,215.027
-0.668,0.660,0.226,-5.493,288.086,204.712
-0.634,0.735,-0.054,0.244,297.546,195.007
-0.540,0.887,-0.278,5.798,295.959,185.791
-0.449,1.057,-0.441,7.751,287.659,173.706
-0.356,1.150,-0.555,12.634,276.001,156.189
-0.263,1.142,-0.618,20.020,261.963,135.071
-0.193,1.018,-0.626,29.175,246.948,113.403
-0.144,0.833,-0.584,36.804,232.910,94.666
-0.116,0.671,-0.471,37.781,220.154,81.665
-0.100,0.574,-0.338,37.781,213.318,74.219
-0.087,0.547,-0.253,30.579,217.712,70.618
-0.089,0.570,-0.299,24.231,234.070,67.688
-0.104,0.621,-0.506,17.517,257.446,63.171
-0.111,0.651,-0.821,8.850,278.748,56.458
-0.103,0.634,-1.188,3.113,291.565,47.180
-0.085,0.573,-1.594,0.427,293.823,37.048
-0.052,0.474,-1.906,-1.099,273.193,27.893
0.024,0.412,-2.034,1.404,236.328,22.095
0.101,0.385,-2.026,6.042,207.825,18.982
0.168,0.392,-1.870,9.827,180.725,16.907
0.217,0.426,-1.643,10.864,159.546,14.893
0.226,0.472,-1.438,5.676,147.156,12.146
0.224,0.546,-1.310,-1.343,145.081,8.484
0.229,0.624,-1.310,-7.812,149.658,3.113
0.216,0.654,-1.437,-12.207,156.433,-4.333
0.213,0.645,-1.626,-13.733,161.011,-13.184
0.220,0.595,-1.808,-12.451,159.241,-23.071
0.248,0.496,-1.898,-11.963,148.682,-33.203
0.289,0.340,-1.877,-9.583,133.667,-42.358
0.307,0.169,-1.763,-8.240,119.080,-48.828
0.314,0.037,-1.572,-5.798,106.262,-51.941
0.325,-0.040,-1.351,-1.343,97.778,-51.758
0.303,-0.064,-1.161,3.540,97.412,-49.194
0.291,-0.004,-1.060,7.385,103.271,-45.227
0.282,0.115,-1.091,7.324,113.281,-41.931
0.253,0.256,-1.246,4.883,122.864,-41.931
0.220,0.385,-1.485,2.747,130.737,-45.959
0.183,0.469,-1.692,-1.160,129.578,-54.199
0.146,0.501,-1.839,-3.479,120.605,-65.674
0.110,0.453,-1.880,-4.822,107.178,-79.041
0.078,0.357,-1.828,-4.272,92.041,-92.407
0.055,0.283,-1.709,-3.174,78.674,-102.905
0.047,0.314,-1.551,-1.770,67.566,-110.657
0.017,0.456,-1.400,-0.977,61.279,-117.920
-0.023,0.682,-1.307,-2.502,61.584,-128.418
-0.095,0.915,-1.341,-3.296,66.650,-144.653
-0.207,1.018,-1.502,-2.991,73.608,-168.823
-0.305,0.739,-1.795,-4.211,78.796,-201.050
-0.386,-0.014,-2.099,-13.611,74.646,-235.291
-0.386,-0.990,-2.367,-22.644,61.279,-257.385
-0.343,-1.979,-2.450,-17.090,37.231,-261.108
-0.255,-2.814,-2.446,14.771,5.371,-244.385
