count,aX,aY,aZ,gX,gY,gZ
30,-0.854,-1.055,1.47,-79.834,-89.661,267.944
31,-0.822,-0.998,1.085,-66.895,-39.978,275.94
32,-0.832,-0.969,0.706,-51.392,-7.751,283.508
33,-0.87,-0.88,0.35,-34.302,10.742,293.396
34,-0.899,-0.705,0.104,-23.865,11.414,305.42
35,-0.924,-0.49,-0.03,-18.433,-1.465,316.284
36,-0.943,-0.238,-0.042,-14.832,-21.667,323.608
37,-0.914,0.056,0.083,-17.212,-46.448,327.087
38,-0.846,0.315,0.29,-24.048,-67.505,324.585
39,-0.761,0.519,0.574,-24.902,-81.665,315.674
40,-0.667,0.634,0.886,-28.564,-85.51,302.368
41,-0.557,0.663,1.22,-32.532,-78.369,286.255
42,-0.485,0.618,1.516,-33.203,-57.983,269.775
43,-0.448,0.54,1.764,-31.372,-24.414,255.249
44,-0.458,0.465,1.962,-28.503,17.029,244.507
45,-0.508,0.424,2.092,-24.048,66.162,238.098
46,-0.604,0.412,2.143,-16.785,121.094,235.535
47,-0.708,0.444,2.11,-3.967,179.504,236.755
48,-0.889,0.506,1.936,14.587,238.22,240.356
49,-1.005,0.635,1.729,26.123,290.222,245.544
50,-1.143,0.846,1.415,33.264,342.59,251.404
51,-1.264,1.119,1.075,29.907,385.437,255.554
52,-1.302,1.42,0.723,16.907,418.03,253.906
53,-1.275,1.737,0.367,-5.249,445.862,245.239
54,-1.232,1.981,-0.062,-17.944,470.276,225.525
55,-1.163,2.137,-0.476,-31.86,486.511,196.594
56,-1.092,2.172,-0.901,-32.776,491.333,159.973
57,-1.002,2.108,-1.296,-27.588,484.436,120.911
58,-0.903,2.011,-1.501,-25.818,452.026,83.557
59,-0.738,1.886,-1.638,-33.081,417.664,49.194
60,-0.627,1.72,-1.754,-35.217,388.062,18.982
61,-0.561,1.581,-1.915,-38.208,361.694,-6.104
62,-0.476,1.525,-1.988,-43.823,333.801,-25.33
63,-0.43,1.553,-1.954,-47.852,304.565,-41.504
64,-0.35,1.604,-1.826,-52.307,274.963,-58.228
65,-0.333,1.638,-1.661,-52.246,251.099,-78.064
66,-0.356,1.611,-1.471,-51.331,234.497,-100.891
67,-0.357,1.471,-1.34,-49.133,227.112,-125.732
68,-0.404,1.183,-1.369,-43.152,231.506,-150.33
69,-0.442,0.832,-1.536,-37.048,239.502,-170.776
70,-0.458,0.469,-1.81,-33.875,245.85,-184.387
71,-0.45,0.119,-2.161,-25.574,248.23,-191.65
72,-0.386,-0.181,-2.504,-18.127,240.479,-192.017
73,-0.306,-0.461,-2.829,-27.344,220.154,-185.303
74,-0.237,-0.685,-3.059,-28.015,190.979,-175.049
75,-0.146,-0.877,-3.202,-32.776,151.367,-159.18
76,-0.051,-1.015,-3.122,-47.119,105.713,-137.939
77,0.048,-1.101,-2.968,-42.175,62.683,-115.662
78,0.097,-1.079,-2.662,-39.063,20.508,-91.614
