aX,aY,aZ,gX,gY,gZ
0.326,-0.013,1.055,9.094,133.057,21.057
0.331,0.020,1.005,9.521,148.804,21.423
0.334,0.042,0.927,9.277,166.870,20.935
0.324,0.060,0.828,8.789,183.472,20.020
0.320,0.081,0.728,8.545,197.693,18.738
0.308,0.090,0.628,8.972,209.412,17.334
0.294,0.087,0.532,9.888,219.727,15.442
0.298,0.064,0.444,9.949,227.661,13.062
0.285,0.043,0.357,10.803,235.229,11.230
0.276,0.030,0.278,12.451,241.455,10.498
0.269,0.028,0.212,12.268,245.911,10.559
0.266,0.042,0.148,11.353,251.282,10.986
0.268,0.064,0.076,9.644,257.568,10.986
0.264,0.066,-0.007,8.606,264.343,10.254
0.265,0.051,-0.095,7.568,271.423,8.850
0.256,0.011,-0.204,8.667,278.931,7.629
0.240,-0.035,-0.317,12.756,285.522,7.263
0.244,-0.082,-0.429,18.616,290.222,8.423
0.250,-0.131,-0.571,24.963,295.044,11.414
0.234,-0.154,-0.736,28.137,299.866,15.808
0.204,-0.127,-0.906,28.503,302.185,21.545
0.191,-0.057,-1.053,25.391,298.035,27.710
0.192,0.049,-1.184,19.897,290.527,32.654
0.188,0.168,-1.290,13.428,279.663,34.729
0.215,0.255,-1.385,7.935,265.991,33.142
0.243,0.336,-1.442,2.930,248.596,28.870
0.257,0.388,-1.490,-1.099,232.056,22.217
0.292,0.396,-1.497,-3.906,214.905,13.367
0.321,0.359,-1.492,-4.578,198.853,3.479
0.341,0.259,-1.500,-4.944,187.012,-5.493
0.361,0.084,-1.520,-2.136,178.101,-12.512
0.372,-0.115,-1.570,0.488,171.814,-16.052
0.365,-0.271,-1.635,2.380,166.626,-13.672
0.369,-0.334,-1.705,3.296,159.668,-5.920
0.375,-0.299,-1.785,3.784,151.428,4.944
0.383,-0.187,-1.861,3.662,141.357,16.479
0.396,-0.034,-1.932,2.380,130.737,24.902
0.402,0.120,-1.995,0.061,118.713,29.114
0.418,0.245,-2.041,-2.258,104.492,28.992
0.428,0.326,-2.057,-4.089,87.830,25.269
0.436,0.355,-2.032,-5.615,69.824,18.982
0.445,0.326,-1.968,-6.653,51.941,11.658
0.450,0.255,-1.874,-6.287,35.583,4.517
0.454,0.168,-1.760,-5.798,21.545,-0.732
0.458,0.100,-1.642,-5.432,10.071,-3.418
0.463,0.056,-1.533,-4.272,1.343,-3.723
0.466,0.040,-1.425,-3.235,-4.578,-2.686
0.470,0.039,-1.323,-2.380,-8.362,-1.099
0.475,0.043,-1.237,-1.953,-10.193,0.183
0.471,0.044,-1.171,-1.709,-10.376,1.099
0.466,0.042,-1.120,-1.831,-9.521,2.075
0.466,0.049,-1.080,-2.014,-8.240,3.113
0.458,0.065,-1.053,-2.075,-6.775,3.906
0.449,0.084,-1.031,-1.953,-5.493,4.578
0.448,0.112,-1.017,-2.136,-4.272,4.578
0.443,0.140,-1.010,-2.075,-3.296,4.089
0.439,0.150,-1.016,-1.831,-2.625,2.686
0.430,0.132,-1.023,-2.014,-2.075,0.549
0.425,0.108,-1.029,-2.136,-2.502,-1.160
0.417,0.085,-1.028,-2.197,-3.418,-2.136
0.416,0.071,-1.018,-2.563,-4.883,-2.380
0.415,0.060,-1.001,-3.540,-6.287,-2.258
0.413,0.061,-0.979,-4.761,-7.263,-1.953
0.413,0.070,-0.953,-5.371,-8.301,-1.648
0.414,0.080,-0.928,-5.981,-9.094,-1.648

0.452,0.044,-2.248,-2.563,-0.549,10.132
0.446,0.110,-2.372,-3.906,-16.296,12.451
0.432,0.177,-2.445,-5.432,-36.133,13.428
0.425,0.245,-2.475,-7.141,-58.533,12.390
0.395,0.298,-2.464,-7.446,-82.092,9.705
0.367,0.324,-2.404,-8.240,-106.567,5.371
0.338,0.310,-2.333,-8.240,-129.517,0.000
0.305,0.235,-2.259,-5.676,-149.963,-5.737
0.277,0.106,-2.191,-2.441,-168.152,-10.803
0.232,-0.032,-2.130,0.732,-184.326,-13.489
0.198,-0.140,-2.083,2.502,-199.646,-12.512
0.144,-0.208,-2.028,4.211,-214.294,-8.362
0.082,-0.201,-1.935,3.601,-231.140,-2.258
0.029,-0.083,-1.794,2.136,-249.939,5.859
-0.028,0.122,-1.630,0.183,-268.372,13.184
-0.056,0.340,-1.449,-2.808,-285.767,16.052
-0.081,0.495,-1.272,-6.409,-300.415,12.085
-0.112,0.560,-1.091,-11.658,-312.744,2.747
-0.142,0.539,-0.920,-15.320,-322.266,-9.155
-0.178,0.420,-0.748,-17.212,-329.834,-22.156
-0.180,0.245,-0.577,-17.639,-337.280,-33.569
-0.191,0.059,-0.411,-15.625,-341.919,-41.199
-0.191,-0.095,-0.231,-13.550,-344.727,-43.640
-0.163,-0.194,-0.070,-11.841,-344.055,-41.199
-0.150,-0.216,0.055,-9.277,-337.158,-35.400
-0.164,-0.161,0.178,-7.446,-330.383,-28.503
-0.157,-0.064,0.313,-5.554,-325.684,-22.644
-0.134,0.026,0.449,-3.235,-320.251,-19.531
-0.121,0.091,0.604,-3.174,-314.392,-19.775
-0.100,0.100,0.775,-1.526,-308.044,-23.010
-0.078,0.070,0.959,-0.061,-298.706,-27.527
-0.037,0.027,1.157,-0.671,-286.499,-31.067
0.013,-0.005,1.346,-3.113,-268.616,-32.776
0.065,-0.042,1.493,-5.127,-243.713,-33.264
0.121,-0.090,1.589,-6.165,-214.600,-33.020
0.167,-0.130,1.637,-6.653,-182.068,-31.433
0.205,-0.163,1.639,-6.470,-149.353,-28.931
0.237,-0.183,1.618,-6.531,-118.591,-25.696
0.265,-0.194,1.574,-6.226,-89.905,-21.912
0.289,-0.197,1.506,-5.005,-62.927,-17.883
0.299,-0.192,1.420,-3.540,-39.307,-13.977
0.302,-0.186,1.325,-2.319,-18.494,-10.620
0.298,-0.183,1.230,-0.305,-1.038,-7.263
0.296,-0.182,1.157,1.099,11.536,-4.517
0.294,-0.173,1.097,2.319,22.278,-1.587
0.286,-0.155,1.053,3.052,30.823,1.343
0.285,-0.130,1.032,3.479,37.842,4.150
0.283,-0.100,1.041,3.967,43.884,6.409
0.286,-0.069,1.071,4.944,50.293,8.240
0.294,-0.036,1.107,5.798,58.350,9.216
0.309,-0.005,1.141,6.470,68.298,9.705
0.323,0.015,1.158,7.446,81.726,9.216
0.333,0.023,1.151,8.362,97.229,8.057
0.337,0.012,1.115,8.667,114.441,6.470
0.329,-0.027,1.055,8.545,131.592,4.211
0.310,-0.094,0.988,7.812,149.048,2.563
0.294,-0.168,0.910,7.935,166.260,2.380
0.275,-0.223,0.835,8.728,181.213,4.333
0.255,-0.240,0.755,9.827,196.106,8.057
0.246,-0.217,0.682,10.254,209.045,13.123
0.247,-0.163,0.607,10.254,221.191,18.250
0.258,-0.102,0.505,10.193,235.229,22.278
0.264,-0.051,0.364,10.254,250.183,24.719
0.266,-0.016,0.210,10.132,264.221,25.452
0.261,-0.009,0.046,10.986,276.367,24.963
0.271,-0.020,-0.131,12.329,286.499,24.597
0.279,-0.042,-0.326,14.099,295.410,24.536
0.259,-0.081,-0.526,17.761,301.453,24.780
0.236,-0.119,-0.709,21.179,300.598,26.001
0.221,-0.117,-0.839,21.484,291.687,29.053
0.231,-0.050,-0.936,21.057,280.457,33.386
0.256,0.082,-1.001,17.578,266.907,37.537
0.269,0.238,-1.035,12.390,253.601,38.879
0.290,0.367,-1.041,5.737,240.845,35.583
0.320,0.439,-1.031,-1.770,229.980,27.649
0.352,0.418,-1.035,-7.996,223.083,16.235
0.371,0.292,-1.074,-11.719,220.764,3.601
0.376,0.087,-1.152,-12.634,222.290,-6.348
0.362,-0.109,-1.242,-11.719,222.412,-10.986
0.356,-0.246,-1.348,-8.423,220.947,-9.338
0.340,-0.302,-1.449,-2.747,217.651,-2.930
0.320,-0.267,-1.536,2.563,211.243,6.592
0.302,-0.158,-1.608,6.897,202.515,17.151
0.290,0.001,-1.656,9.033,191.284,25.757
0.297,0.189,-1.677,9.216,178.772,31.006
0.315,0.360,-1.674,7.690,165.039,31.433
0.343,0.487,-1.665,4.578,152.588,26.978
0.381,0.536,-1.674,1.282,142.395,18.127
0.408,0.479,-1.723,-1.160,134.949,6.042
0.417,0.321,-1.810,-2.686,128.479,-5.371
0.418,0.131,-1.912,-4.028,120.667,-13.306
0.412,-0.026,-2.010,-4.028,110.474,-16.418
0.405,-0.121,-2.084,-3.052,96.680,-14.526
0.398,-0.150,-2.107,-2.197,79.956,-9.583
0.408,-0.113,-2.076,-1.892,61.279,-4.211
0.414,-0.026,-1.999,-1.892,42.664,1.282
0.426,0.079,-1.885,-2.808,25.146,4.883
0.434,0.167,-1.742,-3.967,9.827,5.310
0.447,0.208,-1.588,-5.005,-2.563,2.747
0.462,0.187,-1.442,-5.554,-10.559,-1.709
0.469,0.121,-1.319,-4.944,-14.526,-5.615
0.468,0.038,-1.222,-3.906,-15.442,-8.179
0.466,-0.023,-1.153,-2.808,-14.709,-8.362
0.458,-0.047,-1.102,-1.587,-12.939,-6.287
0.454,-0.028,-1.071,-1.099,-10.437,-3.601
0.445,0.015,-1.059,-1.465,-7.996,-0.488
0.441,0.068,-1.061,-1.709,-6.348,1.404
0.438,0.104,-1.071,-2.563,-5.981,1.526
0.431,0.109,-1.080,-3.174,-6.165,0.122
0.422,0.089,-1.079,-3.052,-7.385,-1.831
0.412,0.064,-1.062,-3.113,-9.033,-3.296
0.406,0.045,-1.026,-2.625,-11.536,-3.906
0.406,0.044,-0.983,-2.075,-13.428,-3.662
