count,aX,aY,aZ,gX,gY,gZ
53,0.543,0.013,0.805,1.16,10.62,-0.732
54,0.531,0.019,0.844,0.977,21.484,0.488
55,0.526,0.055,0.849,0.305,34.424,2.319
56,0.505,0.122,0.816,-0.305,48.95,3.967
57,0.487,0.213,0.794,1.404,60.73,4.944
58,0.475,0.29,0.798,3.357,70.251,3.418
59,0.476,0.335,0.809,4.395,79.956,-0.244
60,0.475,0.343,0.795,4.578,91.492,-4.883
61,0.467,0.324,0.76,7.202,104.736,-9.888
62,0.459,0.271,0.72,9.216,116.76,-15.259
63,0.439,0.204,0.68,11.719,128.357,-19.775
64,0.426,0.119,0.647,14.465,139.648,-22.827
65,0.411,0.009,0.607,16.296,151.733,-24.475
66,0.39,-0.109,0.533,18.311,166.199,-23.926
67,0.37,-0.183,0.435,21.79,180.054,-20.325
68,0.356,-0.158,0.341,24.719,190.369,-13.55
69,0.343,-0.053,0.284,25.696,196.472,-6.653
70,0.334,0.102,0.272,25.146,200.256,-2.625
71,0.318,0.226,0.272,21.484,205.75,-2.502
72,0.279,0.292,0.251,16.052,215.21,-6.287
73,0.244,0.28,0.204,11.841,225.83,-12.878
74,0.204,0.177,0.123,9.827,238.098,-20.813
75,0.164,0.011,0.009,9.888,250.305,-26.794
76,0.133,-0.114,-0.124,14.465,261.047,-27.893
77,0.11,-0.15,-0.248,19.836,268.86,-24.475
78,0.09,-0.119,-0.342,22.461,271.057,-19.348
79,0.061,-0.054,-0.414,23.987,271.912,-15.076
80,0.026,0.008,-0.444,23.804,272.156,-13
81,-0.019,0.025,-0.47,22.156,274.475,-13.428
82,-0.06,0.029,-0.527,18.86,281.067,-14.526
83,-0.093,0.037,-0.649,14.465,291.016,-15.564
84,-0.114,0.043,-0.902,9.949,304.199,-16.724
85,-0.133,0.069,-1.189,4.517,310.547,-18.311
86,-0.123,0.162,-1.474,-2.319,305.115,-20.142
87,-0.109,0.226,-1.692,-10.132,288.452,-24.719
88,-0.075,0.197,-1.811,-17.273,264.465,-32.837
89,-0.027,0.02,-1.907,-22.644,244.568,-42.297
90,0.005,-0.248,-2.012,-23.804,227.844,-48.645
91,0.028,-0.476,-2.143,-22.217,213.623,-48.096
92,0.07,-0.554,-2.318,-20.203,198.669,-40.344
93,0.101,-0.525,-2.519,-21.362,181.58,-29.602
94,0.132,-0.464,-2.638,-26.733,157.837,-19.287
95,0.161,-0.383,-2.612,-34.18,129.7,-11.169
96,0.204,-0.283,-2.465,-40.283,103.271,-5.371
97,0.241,-0.225,-2.287,-43.274,82.642,-2.38
98,0.266,-0.222,-2.163,-42.725,68.481,-0.916
99,0.278,-0.249,-2.114,-37.903,59.57,0.549
100,0.286,-0.24,-2.116,-29.907,52.002,3.052
101,0.291,-0.201,-2.105,-21.79,42.969,5.92
102,0.3,-0.131,-2.041,-14.526,31.982,8.24
103,0.305,-0.085,-1.933,-8.85,20.203,9.033
104,0.308,-0.071,-1.784,-4.822,9.521,8.606
105,0.311,-0.053,-1.637,-0.366,2.197,8.057
106,0.313,-0.025,-1.522,3.784,-1.404,7.324
107,0.314,-0.003,-1.457,6.348,-2.808,6.165
108,0.308,-0.005,-1.426,6.775,-3.967,4.456
109,0.301,-0.027,-1.4,4.822,-6.226,2.502
110,0.297,-0.049,-1.357,2.258,-9.705,1.221
111,0.289,-0.062,-1.292,-0.427,-13.855,0.671
112,0.289,-0.049,-1.208,-2.197,-17.395,0.427
113,0.289,-0.034,-1.125,-2.93,-19.226,-0.061
114,0.288,-0.04,-1.059,-3.235,-19.104,-1.343
115,0.289,-0.064,-1.021,-3.052,-17.212,-2.441
116,0.286,-0.096,-1.002,-2.563,-15.259,-3.357
117,0.285,-0.11,-0.993,-1.831,-13.55,-3.235
118,0.286,-0.106,-0.981,-1.221,-12.512,-2.747
119,0.285,-0.112,-0.96,-1.282,-11.902,-2.502

1,0.329,-0.282,-2.184,4.761,-23.926,7.507
2,0.329,-0.305,-2.286,4.456,-38.513,9.949
3,0.31,-0.276,-2.34,2.38,-55.115,13.977
4,0.293,-0.203,-2.321,-1.282,-74.707,18.127
5,0.288,-0.13,-2.262,-5.127,-93.628,20.996
6,0.275,-0.1,-2.228,-6.775,-109.131,21.606
7,0.254,-0.072,-2.196,-5.859,-123.413,21.79
8,0.24,-0.096,-2.168,-1.831,-136.78,21.118
9,0.211,-0.132,-2.146,2.38,-149.719,20.325
10,0.181,-0.122,-2.125,7.446,-162.964,20.63
11,0.157,-0.097,-2.073,11.23,-177.063,21.24
12,0.143,-0.081,-1.96,12.939,-192.139,21.118
13,0.117,-0.044,-1.782,12.39,-208.435,20.935
14,0.125,0.014,-1.558,11.719,-222.778,20.569
15,0.134,-0.009,-1.364,11.658,-230.347,18.372
16,0.135,-0.088,-1.199,11.719,-234.192,15.747
17,0.151,-0.19,-1.115,14.526,-234.192,14.771
18,0.158,-0.261,-1.107,18.066,-232.788,15.808
19,0.14,-0.253,-1.151,22.095,-233.032,19.043
20,0.104,-0.215,-1.221,24.78,-236.877,22.705
21,0.063,-0.112,-1.232,22.4,-246.399,26.184
22,0.021,0.031,-1.133,19.287,-260.193,27.832
23,-0.016,0.142,-0.966,15.015,-275.635,26.367
24,-0.026,0.187,-0.736,9.521,-290.161,21.484
25,-0.043,0.156,-0.516,6.287,-300.415,14.16
26,-0.054,0.052,-0.275,2.625,-309.998,6.897
27,-0.037,-0.07,-0.041,0.122,-314.453,1.831
28,-0.009,-0.158,0.17,-0.366,-311.035,0.793
29,0.015,-0.193,0.376,1.404,-304.749,2.686
30,0.067,-0.198,0.55,2.38,-292.969,5.798
31,0.129,-0.151,0.695,-5.798,-276.001,10.742
32,0.17,-0.061,0.78,-7.69,-253.418,15.259
33,0.213,0.046,0.827,-10.437,-230.896,18.188
34,0.266,0.121,0.868,-10.498,-210.571,17.761
35,0.31,0.147,0.898,-7.812,-190.979,14.587
36,0.343,0.129,0.93,-3.906,-172.18,10.498
37,0.382,0.068,0.962,0.122,-154.358,6.653
38,0.415,0.013,0.962,2.686,-135.254,4.822
39,0.439,-0.001,0.931,4.578,-115.417,5.371
40,0.466,0.02,0.891,6.958,-98.206,7.08
41,0.495,0.057,0.846,7.568,-83.374,8.057
42,0.513,0.09,0.792,6.409,-69.885,7.69
43,0.524,0.102,0.746,3.906,-58.167,6.042
44,0.539,0.092,0.715,0.549,-48.828,3.906
45,0.554,0.084,0.683,-1.77,-40.039,2.258
46,0.568,0.068,0.65,-3.174,-31.738,0.671
47,0.585,0.049,0.634,-3.601,-25.024,-0.244
48,0.603,0.018,0.638,-3.784,-19.165,-1.282
49,0.607,-0.033,0.639,-3.174,-13.062,-1.953
50,0.606,-0.084,0.638,-2.93,-7.324,-1.282
51,0.6,-0.094,0.646,-2.258,-2.136,1.038
52,0.595,-0.052,0.681,-1.587,2.502,4.333
53,0.597,0.005,0.726,-1.465,7.141,7.019
54,0.59,0.056,0.768,-3.54,13.916,8.057
55,0.587,0.101,0.813,-4.639,21.729,7.996
56,0.579,0.141,0.856,-5.737,31.128,6.714
57,0.579,0.169,0.899,-5.798,41.931,4.333
58,0.583,0.167,0.911,-4.517,55.725,1.282
59,0.577,0.133,0.875,-2.441,72.815,-2.014
60,0.57,0.088,0.811,-0.122,88.623,-4.333
61,0.564,0.038,0.745,2.808,102.844,-5.066
62,0.561,-0.005,0.681,6.531,115.845,-5.066
63,0.554,-0.033,0.605,10.254,128.052,-3.784
64,0.546,-0.024,0.513,13.977,140.503,-1.221
65,0.544,0.035,0.418,16.968,151.123,1.892
66,0.547,0.119,0.325,19.165,159.607,3.662
67,0.55,0.162,0.253,19.043,164.856,2.441
68,0.552,0.139,0.189,17.395,169.678,-0.916
69,0.546,0.058,0.13,15.198,173.95,-4.395
70,0.534,-0.023,0.081,14.16,177.612,-5.371
71,0.527,-0.073,0.047,13.855,180.664,-4.944
72,0.528,-0.072,0.027,13.184,183.655,-2.38
73,0.528,-0.045,-0.01,13.062,189.209,0.61
74,0.507,0.004,-0.074,13,197.754,2.502
75,0.492,0.076,-0.16,12.329,206.116,3.357
76,0.478,0.114,-0.28,10.01,213.684,2.502
77,0.456,0.07,-0.442,6.592,220.459,-0.61
78,0.441,-0.001,-0.591,3.052,221.008,-3.296
79,0.438,-0.05,-0.714,1.099,216.858,-3.601
80,0.45,-0.045,-0.808,1.16,209.839,-1.892
81,0.45,-0.004,-0.821,1.099,198.608,0
82,0.458,0.032,-0.751,0.122,185.852,0.549
83,0.451,0.051,-0.674,-1.892,179.871,-0.427
84,0.432,0.067,-0.649,-3.174,180.664,-2.014
85,0.401,0.075,-0.699,-5.066,185.12,-3.906
86,0.369,0.066,-0.773,-6.409,190.43,-5.31
87,0.332,0.026,-0.847,-7.568,194.092,-6.409
88,0.313,-0.001,-0.869,-8.057,190.979,-7.141
89,0.32,-0.012,-0.849,-6.653,186.584,-7.019
90,0.304,-0.058,-0.856,-4.395,186.829,-6.653
91,0.284,-0.073,-0.918,-0.122,191.833,-5.615
92,0.258,-0.037,-1.038,4.211,198.425,-3.845
93,0.231,0.013,-1.196,6.348,201.05,-1.892
94,0.212,0.021,-1.346,4.7,197.144,-1.221
95,0.214,0.037,-1.452,1.648,186.89,-1.038
96,0.232,0.154,-1.495,-0.977,174.316,-0.122
97,0.24,0.302,-1.505,-4.517,162.415,-1.343
98,0.25,0.314,-1.528,-9.888,153.564,-7.202
99,0.252,0.154,-1.602,-17.09,147.583,-15.869
100,0.262,-0.047,-1.743,-22.705,142.334,-21.912
101,0.272,-0.198,-1.925,-24.841,134.583,-22.278
102,0.28,-0.244,-2.05,-25.208,120.728,-18.372
103,0.292,-0.208,-2.06,-25.146,102.051,-12.878
104,0.313,-0.185,-1.947,-26.611,82.153,-8.667
105,0.333,-0.163,-1.799,-26.306,67.017,-5.859
106,0.346,-0.147,-1.701,-24.475,57.434,-3.662
